t,T1,Q1
794.3966319561005,58.6,0.0
795.3976271152496,58.44,0.0
796.39763712883,58.28,0.0
797.3986337184906,58.28,0.0
798.399632692337,58.28,0.0
799.4005937576294,57.99,0.0
800.4006321430206,57.96,0.0
801.4016308784485,57.96,0.0
802.4016311168671,57.64,0.0
803.4025938510895,57.64,0.0
804.4026310443878,57.64,0.0
805.4026324748993,57.31,0.0
806.4027290344238,57.31,0.0
807.4031813144684,57.31,0.0
808.4031841754913,56.99,0.0
809.404146194458,56.99,0.0
810.4041886329651,56.86,0.0
811.4051880836487,56.67,0.0
812.4061486721039,56.67,0.0
813.406182050705,56.38,0.0
814.4071488380432,56.35,0.0
815.4071798324585,56.15,0.0
816.4081618785858,56.03,0.0
817.4091560840607,56.03,0.0
818.4095001220703,55.7,0.0
819.4105000495911,55.7,0.0
820.4114999771118,55.38,0.0
821.4124994277954,55.38,0.0
822.4134569168091,55.12,0.0
823.4143333435059,55.06,0.0
824.4143803119659,54.87,0.0
825.415372133255,54.74,0.0
826.4153733253479,54.7,0.0
827.4163670539856,54.41,0.0
828.4173347949982,54.35,0.0
829.4173676967621,54.09,0.0
830.417368888855,54.09,0.0
831.4173727035522,53.77,0.0
832.4183650016785,53.77,0.0
833.4183671474457,53.45,0.0
834.4183688163757,53.42,0.0
835.4193677902222,53.13,0.0
836.4193732738495,53.13,0.0
837.4203720092773,52.8,0.0
838.4213714599609,52.8,0.0
839.4213728904724,52.48,0.0
840.4223675727844,52.48,0.0
841.4233343601227,52.16,0.0
842.4239277839661,52.16,0.0
843.4248497486115,51.84,0.0
844.4248523712158,51.84,0.0
845.4248852729797,51.51,0.0
846.4248886108398,51.51,0.0
847.4258141517639,51.19,0.0
848.4258222579956,51.19,0.0
849.4266152381897,50.97,0.0
850.4276134967804,50.87,0.0
851.4276139736176,50.58,0.0
852.4286139011383,50.55,0.0
853.4286177158356,50.42,0.0
854.4294075965881,50.22,0.0
855.4297575950623,50.22,0.0
856.4307222366333,49.9,0.0
857.4307656288147,49.9,0.0
858.4314639568329,49.58,0.0
859.4324145317078,49.58,0.0
860.4324152469635,49.26,0.0
861.4324240684509,49.26,0.0
862.4334361553192,48.94,0.0
863.4344170093536,48.94,0.0
864.435417175293,48.65,0.0
865.4364151954651,48.61,0.0
866.4364156723022,48.39,0.0
867.4364202022552,48.29,0.0
868.4374179840088,48.23,0.0
869.4384145736694,47.97,0.0
870.4389116764069,47.97,0.0
871.4389119148254,47.65,0.0
872.4389169216156,47.65,0.0
873.4399049282074,47.42,0.0
874.4399116039276,47.32,0.0
